18:10:17: [INFO] [C:\Users\ethan\Ethan's Code\PycharmProjects\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry_worker.py | telemetry_worker | 46] Logger initialized
18:10:17: [INFO] [C:\Users\ethan\Ethan's Code\PycharmProjects\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | create | 88] Telemetry object created
18:10:17: [INFO] [C:\Users\ethan\Ethan's Code\PycharmProjects\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry_worker.py | telemetry_worker | 58] telemetry created
18:10:17: [INFO] [C:\Users\ethan\Ethan's Code\PycharmProjects\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 133] LOCAL_POSITION_NED info received
18:10:17: [INFO] [C:\Users\ethan\Ethan's Code\PycharmProjects\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 138] ATTITUDE info received
18:10:17: [INFO] [C:\Users\ethan\Ethan's Code\PycharmProjects\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 138] ATTITUDE info received
18:10:17: [INFO] [C:\Users\ethan\Ethan's Code\PycharmProjects\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 138] ATTITUDE info received
18:10:17: [INFO] [C:\Users\ethan\Ethan's Code\PycharmProjects\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 138] ATTITUDE info received
18:10:17: [INFO] [C:\Users\ethan\Ethan's Code\PycharmProjects\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 138] ATTITUDE info received
18:10:17: [INFO] [C:\Users\ethan\Ethan's Code\PycharmProjects\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 138] ATTITUDE info received
18:10:17: [INFO] [C:\Users\ethan\Ethan's Code\PycharmProjects\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 138] ATTITUDE info received
18:10:17: [INFO] [C:\Users\ethan\Ethan's Code\PycharmProjects\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 138] ATTITUDE info received
18:10:17: [INFO] [C:\Users\ethan\Ethan's Code\PycharmProjects\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 138] ATTITUDE info received
18:10:17: [INFO] [C:\Users\ethan\Ethan's Code\PycharmProjects\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 138] ATTITUDE info received
18:10:17: [INFO] [C:\Users\ethan\Ethan's Code\PycharmProjects\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 138] ATTITUDE info received
18:10:17: [INFO] [C:\Users\ethan\Ethan's Code\PycharmProjects\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 138] ATTITUDE info received
18:10:17: [INFO] [C:\Users\ethan\Ethan's Code\PycharmProjects\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 138] ATTITUDE info received
18:10:17: [INFO] [C:\Users\ethan\Ethan's Code\PycharmProjects\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 138] ATTITUDE info received
18:10:17: [INFO] [C:\Users\ethan\Ethan's Code\PycharmProjects\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 138] ATTITUDE info received
18:10:17: [INFO] [C:\Users\ethan\Ethan's Code\PycharmProjects\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 138] ATTITUDE info received
18:10:17: [INFO] [C:\Users\ethan\Ethan's Code\PycharmProjects\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 138] ATTITUDE info received
18:10:17: [INFO] [C:\Users\ethan\Ethan's Code\PycharmProjects\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 138] ATTITUDE info received
18:10:17: [INFO] [C:\Users\ethan\Ethan's Code\PycharmProjects\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 138] ATTITUDE info received
18:10:17: [INFO] [C:\Users\ethan\Ethan's Code\PycharmProjects\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 138] ATTITUDE info received
