18:09:35: [INFO] [C:\Users\ethan\Ethan's Code\PycharmProjects\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver_worker.py | heartbeat_receiver_worker | 49] Logger initialized
18:09:35: [INFO] [C:\Users\ethan\Ethan's Code\PycharmProjects\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver_worker.py | heartbeat_receiver_worker | 63] heartbeat receiver successfully created
18:09:35: [INFO] [C:\Users\ethan\Ethan's Code\PycharmProjects\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver.py | run | 79] The drone is connected.
18:09:40: [WARNING] [C:\Users\ethan\Ethan's Code\PycharmProjects\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver.py | run | 73] 1 heartbeats missed.
18:09:41: [WARNING] [C:\Users\ethan\Ethan's Code\PycharmProjects\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver.py | run | 73] 2 heartbeats missed.
18:09:42: [WARNING] [C:\Users\ethan\Ethan's Code\PycharmProjects\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver.py | run | 73] 3 heartbeats missed.
18:09:43: [WARNING] [C:\Users\ethan\Ethan's Code\PycharmProjects\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver.py | run | 73] 4 heartbeats missed.
18:09:44: [WARNING] [C:\Users\ethan\Ethan's Code\PycharmProjects\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver.py | run | 71] The drone has been disconnected.
18:09:45: [WARNING] [C:\Users\ethan\Ethan's Code\PycharmProjects\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver.py | run | 71] The drone has been disconnected.
18:09:46: [WARNING] [C:\Users\ethan\Ethan's Code\PycharmProjects\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver.py | run | 71] The drone has been disconnected.
18:09:47: [WARNING] [C:\Users\ethan\Ethan's Code\PycharmProjects\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver.py | run | 71] The drone has been disconnected.
18:09:48: [INFO] [C:\Users\ethan\Ethan's Code\PycharmProjects\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver.py | run | 79] The drone is connected.
18:09:53: [WARNING] [C:\Users\ethan\Ethan's Code\PycharmProjects\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver.py | run | 73] 1 heartbeats missed.
18:09:55: [WARNING] [C:\Users\ethan\Ethan's Code\PycharmProjects\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver.py | run | 73] 1 heartbeats missed.
